Rank,Player,Club,Nationality,Stat
1.0,Jamie Vardy,Leicester City,England,23
2.0,Pierre-Emerick Aubameyang,Arsenal,Gabon,22
2.0,Danny Ings,Southampton,England,22
4.0,Raheem Sterling,Manchester City,England,20
5.0,Mohamed Salah,Liverpool,Egypt,19
6.0,Harry Kane,Tottenham Hotspur,England,18
6.0,Sadio Mané,Liverpool,Senegal,18
8.0,Raúl Jiménez,Wolverhampton Wanderers,Mexico,17
8.0,Anthony Martial,Manchester United,France,17
8.0,Marcus Rashford,Manchester United,England,17
11.0,Sergio Agüero,Manchester City,Argentina,16
12.0,Tammy Abraham,Chelsea,England,15
13.0,Gabriel Jesus,Manchester City,Brazil,14
13.0,Chris Wood,Burnley,New Zealand,14
15.0,Dominic Calvert-Lewin,Everton,England,13
15.0,Richarlison,Everton,Brazil,13
15.0,Kevin De Bruyne,Manchester City,Belgium,13
18.0,Riyad Mahrez,Manchester City,Algeria,11
18.0,Teemu Pukki,Norwich City,Finland,11
18.0,Son Heung-Min,Tottenham Hotspur,South Korea,11
21.0,Michail Antonio,West Ham United,England,10
21.0,Troy Deeney,Watford,England,10
21.0,Mason Greenwood,Manchester United,England,10
21.0,Alexandre Lacazette,Arsenal,France,10
21.0,Neal Maupay,Brighton and Hove Albion,France,10
26.0,Jordan Ayew,Crystal Palace,Ghana,9
26.0,Roberto Firmino,Liverpool,Brazil,9
26.0,Willian,-,Brazil,9
26.0,Christian Pulisic,Chelsea,United States,9
30.0,Dele Alli,Tottenham Hotspur,England,8
30.0,Bruno Fernandes,Manchester United,Portugal,8
30.0,Olivier Giroud,Chelsea,France,8
30.0,Jack Grealish,Aston Villa,England,8
30.0,Ayoze Pérez,Leicester City,Spain,8
30.0,Jay Rodriguez,Burnley,England,8
30.0,Callum Wilson,-,England,8
37.0,Sébastien Haller,West Ham United,France,7
37.0,Mason Mount,Chelsea,England,7
37.0,Diogo Jota,-,Portugal,7
37.0,Harry Wilson,AFC Bournemouth,Wales,7
41.0,Harvey Barnes,Leicester City,England,6
41.0,Ashley Barnes,Burnley,England,6
41.0,Todd Cantwell,Norwich City,England,6
41.0,Trézéguet,Aston Villa,Egypt,6
41.0,Joshua King,AFC Bournemouth,Norway,6
41.0,James Maddison,Leicester City,England,6
41.0,Oliver McBurnie,Sheffield United,Scotland,6
41.0,Lys Mousset,Sheffield United,France,6
41.0,Jonjo Shelvey,Newcastle United,England,6
41.0,David Silva,-,Spain,6
41.0,Bernardo Silva,Manchester City,Portugal,6
52.0,Stuart Armstrong,Southampton,Scotland,5
52.0,John Fleck,Sheffield United,Scotland,5
52.0,Phil Foden,-,England,5
52.0,Kelechi Iheanacho,Leicester City,Nigeria,5
52.0,John Lundstram,Sheffield United,England,5
52.0,Wesley,Aston Villa,Brazil,5
52.0,Nicolas Pépé,Arsenal,Cote D'Ivoire,5
52.0,Ismaila Sarr,Watford,Senegal,5
52.0,Robert Snodgrass,West Ham United,Scotland,5
52.0,Leandro Trossard,Brighton and Hove Albion,Belgium,5
52.0,Virgil van Dijk,Liverpool,Netherlands,5
52.0,James Ward-Prowse,Southampton,England,5
52.0,Andriy Yarmolenko,West Ham United,Ukraine,5
65.0,Che Adams,Southampton,England,4
65.0,Trent Alexander-Arnold,Liverpool,England,4
65.0,Miguel Almirón,Newcastle United,Paraguay,4
65.0,Marcos Alonso,Chelsea,Spain,4
65.0,Leander Dendoncker,Wolverhampton Wanderers,Belgium,4
65.0,Gerard Deulofeu,-,Spain,4
65.0,Matt Doherty,-,Ireland,4
65.0,Abdoulaye Doucouré,-,France,4
65.0,Anwar El Ghazi,Aston Villa,Netherlands,4
65.0,Jorginho,Chelsea,Italy,4
65.0,Dwight Gayle,Newcastle United,England,4
65.0,Jordan Henderson,Liverpool,England,4
65.0,Scott McTominay,Manchester United,Scotland,4
65.0,Mark Noble,West Ham United,England,4
65.0,Divock Origi,Liverpool,Belgium,4
65.0,Alex Oxlade-Chamberlain,Liverpool,England,4
65.0,Nathan Redmond,Southampton,England,4
65.0,Lucas Moura,Tottenham Hotspur,Brazil,4
65.0,Adama Traoré,Wolverhampton Wanderers,Spain,4
65.0,Georginio Wijnaldum,Liverpool,Netherlands,4
65.0,Wilfried Zaha,Crystal Palace,Cote D'Ivoire,4
86.0,Bernard,Everton,Brazil,3
86.0,Ricardo Pereira,Leicester City,Portugal,3
86.0,Steven Bergwijn,Tottenham Hotspur,Netherlands,3
86.0,Ben Chilwell,-,England,3
86.0,Aaron Connolly,Brighton and Hove Albion,Ireland,3
86.0,Aaron Cresswell,West Ham United,England,3
86.0,Issa Diop,West Ham United,France,3
86.0,Lewis Dunk,Brighton and Hove Albion,England,3
86.0,Dan Gosling,AFC Bournemouth,England,3
86.0,Rodrigo,Manchester City,Spain,3
86.0,Conor Hourihane,Aston Villa,Ireland,3
86.0,Daniel James,Manchester United,Wales,3
86.0,N'Golo Kanté,Chelsea,France,3
86.0,Pedro Neto,Wolverhampton Wanderers,Portugal,3
86.0,Gabriel Martinelli,Arsenal,Brazil,3
86.0,John McGinn,Aston Villa,Scotland,3
86.0,Luka Milivojevic,Crystal Palace,Serbia,3
86.0,Michael Obafemi,Southampton,Ireland,3
86.0,Roberto Pereyra,-,Argentina,3
86.0,Allan Saint-Maximin,Newcastle United,France,3
86.0,Jeffrey Schlupp,Crystal Palace,Ghana,3
86.0,Billy Sharp,Sheffield United,England,3
86.0,Douglas Luiz,Aston Villa,Brazil,3
86.0,Dominic Solanke,AFC Bournemouth,England,3
86.0,Tomas Soucek,-,Czech Republic,3
86.0,Junior Stanislas,AFC Bournemouth,England,3
86.0,Youri Tielemans,Leicester City,Belgium,3
86.0,Patrick van Aanholt,Crystal Palace,Netherlands,3
86.0,Adam Webster,Brighton and Hove Albion,England,3
115.0,Nathan Aké,-,Netherlands,2
115.0,Toby Alderweireld,Tottenham Hotspur,Belgium,2
115.0,Joelinton,Newcastle United,Brazil,2
115.0,César Azpilicueta,Chelsea,Spain,2
115.0,George Baldock,-,England,2
115.0,Christian Benteke,Crystal Palace,Belgium,2
115.0,Jonny,Wolverhampton Wanderers,Spain,2
115.0,Ciaran Clark,Newcastle United,Ireland,2
115.0,Patrick Cutrone,-,Italy,2
115.0,Rúben Neves,Wolverhampton Wanderers,Portugal,2
115.0,Craig Dawson,-,England,2
115.0,Moussa Djenepo,Southampton,Mali,2
115.0,John Egan,Sheffield United,Ireland,2
115.0,Christian Eriksen,-,Denmark,2
115.0,Federico Fernández,Newcastle United,Argentina,2
115.0,Pablo Fornals,West Ham United,Spain,2
115.0,Andre Gray,Watford,England,2
115.0,Demarai Gray,Leicester City,England,2
115.0,Pascal Groß,Brighton and Hove Albion,Germany,2
115.0,Ilkay Gündogan,Manchester City,Germany,2
115.0,Jeff Hendrick,-,Ireland,2
115.0,Alireza Jahanbakhsh,-,Iran,2
115.0,Moise Kean,-,Italy,2
115.0,Michael Keane,Everton,England,2
115.0,Naby Keita,Liverpool,Guinea,2
115.0,Erik Lamela,Tottenham Hotspur,Argentina,2
115.0,Florian Lejeune,-,France,2
115.0,Shane Long,Southampton,Ireland,2
115.0,Matthew Longstaff,Newcastle United,England,2
115.0,David Luiz,Arsenal,Brazil,2
115.0,David McGoldrick,Sheffield United,Ireland,2
115.0,Dwight McNeil,Burnley,England,2
115.0,James Milner,Liverpool,England,2
115.0,Yerry Mina,Everton,Colombia,2
115.0,Tyrone Mings,Aston Villa,England,2
115.0,Aaron Mooy,-,Australia,2
115.0,Onyinye Wilfred Ndidi,Leicester City,Nigeria,2
115.0,Tanguy Ndombele,Tottenham Hotspur,France,2
115.0,Eddie Nketiah,Arsenal,England,2
115.0,Angelo Ogbonna,West Ham United,Italy,2
115.0,Nicolás Otamendi,-,Argentina,2
115.0,Sokratis,Arsenal,Greece,2
115.0,Matt Ritchie,Newcastle United,Scotland,2
115.0,Andrew Robertson,Liverpool,Scotland,2
115.0,Antonio Rüdiger,-,Germany,2
115.0,Romain Saïss,Wolverhampton Wanderers,Morocco,2
115.0,Fabian Schär,Newcastle United,Switzerland,2
115.0,Gylfi Sigurdsson,Everton,Iceland,2
115.0,Moussa Sissoko,Tottenham Hotspur,France,2
115.0,Enda Stevens,Sheffield United,Ireland,2
115.0,James Tarkowski,Burnley,England,2
115.0,Fabinho,Liverpool,Brazil,2
115.0,Cenk Tosun,Everton,Turkey,2
115.0,Matej Vydra,Burnley,Czech Republic,2
115.0,Theo Walcott,-,England,2
115.0,Danny Welbeck,-,England,2
115.0,Ashley Westwood,Burnley,England,2
115.0,Jetro Willems,-,Netherlands,2
173.0,Cédric Soares,-,Portugal,1
173.0,Florin Andone,Brighton and Hove Albion,Romania,1
173.0,Serge Aurier,Tottenham Hotspur,Cote D'Ivoire,1
173.0,Fabián Balbuena,West Ham United,Paraguay,1
173.0,Ross Barkley,-,England,1
173.0,Michy Batshuayi,-,Belgium,1
173.0,Jan Bednarek,Southampton,Poland,1
173.0,Héctor Bellerín,Arsenal,Spain,1
173.0,Sander Berge,Sheffield United,Norway,1
173.0,Ryan Bertrand,Southampton,England,1
173.0,Philip Billing,AFC Bournemouth,Denmark,1
173.0,Yves Bissouma,Brighton and Hove Albion,Mali,1
173.0,Jarrod Bowen,West Ham United,England,1
173.0,Robbie Brady,Burnley,Ireland,1
173.0,David Brooks,AFC Bournemouth,Wales,1
173.0,Emiliano Buendía,Norwich City,Argentina,1
173.0,Daniel Podence,Wolverhampton Wanderers,Portugal,1
173.0,Calum Chambers,-,England,1
173.0,Hamza Choudhury,Leicester City,England,1
173.0,Tom Cleverley,Watford,England,1
173.0,Steve Cook,AFC Bournemouth,England,1
173.0,Tom Davies,Everton,England,1
173.0,Josip Drmic,Norwich City,Switzerland,1
173.0,Shane Duffy,-,Ireland,1
173.0,Ahmed El Mohamady,Aston Villa,Egypt,1
173.0,Björn Engels,Aston Villa,Belgium,1
173.0,Jonny Evans,Leicester City,Northern Ireland,1
173.0,Ryan Fraser,-,Scotland,1
173.0,Jóhann Gudmundsson,Burnley,Iceland,1
173.0,Kortney Hause,Aston Villa,England,1
173.0,Isaac Hayden,Newcastle United,England,1
173.0,Onel Hernández,Norwich City,Cuba,1
173.0,Chicharito,-,Mexico,1
173.0,Andreas Pereira,-,Brazil,1
173.0,Callum Hudson-Odoi,Chelsea,England,1
173.0,Will Hughes,Watford,England,1
173.0,Alex Iwobi,Everton,Nigeria,1
173.0,Curtis Jones,Liverpool,England,1
173.0,Ezri Konsa Ngoyo,Aston Villa,England,1
173.0,Cheikhou Kouyaté,Crystal Palace,Senegal,1
173.0,Mateo Kovacic,Chelsea,Croatia,1
173.0,Adam Lallana,-,England,1
173.0,Aymeric Laporte,Manchester City,France,1
173.0,Jamaal Lascelles,Newcastle United,England,1
173.0,Valentino Lazaro,-,Austria,1
173.0,Jefferson Lerma,AFC Bournemouth,Colombia,1
173.0,Jamal Lewis,-,Northern Ireland,1
173.0,Victor Lindelöf,Manchester United,Sweden,1
173.0,Jesse Lingard,Manchester United,England,1
173.0,Sean Longstaff,Newcastle United,England,1
173.0,Harry Maguire,Manchester United,England,1
173.0,Adam Masina,Watford,Italy,1
173.0,Joel Matip,Liverpool,Cameroon,1
173.0,Kenny McLean,Norwich City,Scotland,1
173.0,Ben Mee,Burnley,England,1
173.0,Chris Mepham,AFC Bournemouth,Wales,1
173.0,Glenn Murray,-,England,1
173.0,Reiss Nelson,Arsenal,England,1
173.0,Oliver Norwood,Sheffield United,Northern Ireland,1
173.0,Mesut Özil,Arsenal,Germany,1
173.0,Felipe Anderson,-,Brazil,1
173.0,Paul Pogba,Manchester United,France,1
173.0,Dennis Praet,Leicester City,Belgium,1
173.0,Davy Pröpper,Brighton and Hove Albion,Netherlands,1
173.0,Declan Rice,-,England,1
173.0,Callum Robinson,-,Ireland,1
173.0,Pedro,-,Spain,1
173.0,Bukayo Saka,Arsenal,England,1
173.0,Mbwana Samatta,-,Tanzania,1
173.0,João Moutinho,Wolverhampton Wanderers,Portugal,1
173.0,Xherdan Shaqiri,Liverpool,Switzerland,1
173.0,Çaglar Söyüncü,Leicester City,Turkey,1
173.0,Dennis Srbeny,-,Germany,1
173.0,Jack Stephens,Southampton,England,1
173.0,Matt Targett,Aston Villa,England,1
173.0,Alexander Tettey,Norwich City,Norway,1
173.0,Kieran Tierney,-,Scotland,1
173.0,James Tomkins,Crystal Palace,England,1
173.0,Fikayo Tomori,Chelsea,England,1
173.0,Lucas Torreira,-,Uruguay,1
173.0,Andros Townsend,Crystal Palace,England,1
173.0,Jan Vertonghen,-,Belgium,1
173.0,Jannik Vestergaard,Southampton,Denmark,1
173.0,Mario Vrancic,Norwich City,Bosnia And Herzegovina,1
173.0,Kyle Walker,Manchester City,England,1
173.0,Connor Wickham,Crystal Palace,England,1
173.0,Brandon Williams,Manchester United,England,1
173.0,Joseph Willock,Arsenal,England,1
173.0,Granit Xhaka,Arsenal,Switzerland,1
173.0,DeAndre Yedlin,Newcastle United,United States,1
